"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2018&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Dec 03 2019 12:54:36 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Cargill B6 Biofactory","ID","--",0,289
"Cargill Corn Milling Division","IA",217152,1,270
"Cargill Dry Creek Biofactory","ID","--",0,283
"Cargill Salt","MI",72428,0,170
"Cargill Salt Hersey","MI",1953,0,4
"Carl Bailey","AR",9606,2,11
"Carleton College","MN",39,0,1
"Carlls Corner","NJ",11137,0,93
"Carlsbad Energy Center","CA",68330,0,185
"Carlyle","IL",167,0,3
"Carmi","IL",126,0,3
"Caro","MI",7,0,0
"Carr Street Generating Station","NY",69139,0,18
"Carroll County Energy","OH",1753160,10,92
"Carson Ice-Gen Project","CA",168935,1,11
"Carthage","MO",712,1,17
"Carthage Energy LLC","NY",10326,0,11
"Carty Generating Station","OR",1098444,5,64
"Carville Energy LLC","LA",1385019,7,358
"Cascade","IA",12,0,0
"Cascade Creek","MN",19289,0,45
"Casey City of","IL",26,0,1
"Cashton","WI",7,0,0
"Cass County","NE",72282,0,38
"Castleton Energy Center","NY",66214,0,38
"Catawba River Pollution Control","NC",35,0,1
"Caterpillar","IN",18577,0,421
"Cayuga","IN",5681919,2409,8144
"Cayuga Operating Company","NY",100946,698,73
"Cedar Bayou 4","TX",261213,3,67
"Cedar Hills","WA",1277,2,271
"Celanese Acetate LLC","VA",445112,2,53
"Cellu Tissue","CT",7687,0,177
"Centennial","AK",4658,8,93
"Centennial Generating Station","MN",36,0,1
"Center Peaker","CA",9595,0,1
"Central District Wastewater Treat Plant","FL","--",0,216
"Central Energy Facility","SC",107,0,0
"Central Energy Plant USU","UT",26351,0,71
"Central Michigan University","MI",25346,0,68
"Central Plant","SC",0,0,0
"Central Utilities Plant LAX 2","CA",21663,0,59
"Central Utility Plant","TX",14086,1,323
"Central Utility Plant - Texas A&M","TX",100060,0,196
