"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2011&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:10:06 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Childrens Hospital","CA",16708,0,47
"Chillicothe","MO",435,0,1
"Chino Mines","NM",27615,0,76
"Choctaw County","MS",193453,1,42
"Cholla","AZ",7457488,6113,9975
"Chouteau","OK",781819,4,111
"Chowchilla II","CA",23647,0,548
"Christiana","DE",407,1,1
"Chuck Lenzie Generating Station","NV",2301113,12,212
"Chula Vista Energy Center","CA",919,0,1
"Church Street Plant","VA",66,0,1
"Cimarron River","KS",47881,0,87
"City Light & Water","NE",6,0,0
"City West Diesel Plant","SC",309,0,6
"City of Palo Alto","CA",307,0,7
"CityCenter Central Plant Cogen Units","NV",33129,0,90
"Civic Center","CA",96361,0,251
"Clairton Works","PA",54338,3,139
"Clark (NVE)","NV",156184,0,12
"Clark (SD)","SD",45,0,1
"Clark University","MA",6081,0,142
"Clark-Floyd Landfill Gas Generating","IN","--",0,238
"Claude Vandyke","MI",3478,0,9
"Clay Boswell","MN",7460955,3597,4278
"Clay Center","KS",421,0,8
