"","state_and_county_fips_code","county_name","sector","NOX","PM10-PRI","PM25-PRI","SO2"
"875",22105,"Tangipahoa","Fires - Wildfires",7.260647,33.697337,28.55702,3.236025
"876",22111,"Union","Fires - Wildfires",2.758041,12.642956,10.714407,1.223367
"877",22115,"Vernon","Fires - Wildfires",267.039253,1350.800285,1144.745911,123.178911
"878",22117,"Washington","Fires - Wildfires",5.746794,26.383073,22.358474,2.55053
"879",22119,"Webster","Fires - Wildfires",2.815681,12.723879,10.782953,1.242105
"880",22123,"West Carroll","Fires - Wildfires",0.105336,0.49776,0.421856,0.047282
"881",22127,"Winn","Fires - Wildfires",3.366998,15.821536,13.40801,1.507955
"882",23001,"Androscoggin","Fires - Wildfires",0.302633,2.194451,1.859709,0.164415
"883",23003,"Aroostook","Fires - Wildfires",23.972602,240.565048,203.868697,15.511482
"884",23005,"Cumberland","Fires - Wildfires",1.536453,11.804023,10.003407,0.859256
"885",23007,"Franklin","Fires - Wildfires",0.019452,0.178716,0.151476,0.011972
"886",23009,"Hancock","Fires - Wildfires",6.952548,87.147238,73.853663,5.14734
"887",23011,"Kennebec","Fires - Wildfires",0.669885,5.314882,4.504078,0.380899
"888",23013,"Knox","Fires - Wildfires",0.257653,2.984891,2.529635,0.181547
"889",23015,"Lincoln","Fires - Wildfires",0.207096,1.301227,1.102686,0.104936
"890",23017,"Oxford","Fires - Wildfires",1.275014,10.063509,8.528464,0.723113
"891",23019,"Penobscot","Fires - Wildfires",5.030285,42.922773,36.375226,2.972839
"892",23021,"Piscataquis","Fires - Wildfires",0.880102,7.680502,6.508939,0.526527
"893",23023,"Sagadahoc","Fires - Wildfires",0.351766,2.039355,1.728274,0.171955
"894",23025,"Somerset","Fires - Wildfires",0.514025,4.158402,3.524161,0.295208
"895",23027,"Waldo","Fires - Wildfires",0.268522,2.03529,1.724853,0.149105
"896",23029,"Washington","Fires - Wildfires",2.943617,25.379814,21.508314,1.749399
"897",23031,"York","Fires - Wildfires",1.405954,9.675826,8.199726,0.744294
"898",24001,"Allegany","Fires - Wildfires",2.997926,17.335093,14.690786,1.463898
"899",24003,"Anne Arundel","Fires - Wildfires",0.136437,0.652478,0.552922,0.061525
"900",24005,"Baltimore","Fires - Wildfires",1.490133,8.199543,6.94877,0.712075
"901",24009,"Calvert","Fires - Wildfires",0.004914,0.022146,0.01877,0.00216
"902",24011,"Caroline","Fires - Wildfires",0.293935,1.92779,1.633724,0.152055
"903",24013,"Carroll","Fires - Wildfires",0.203476,1.062792,0.900662,0.095129
"904",24015,"Cecil","Fires - Wildfires",0.062243,0.25091,0.212616,0.026301
"905",24017,"Charles","Fires - Wildfires",0.708696,3.845717,3.259075,0.336642
"906",24019,"Dorchester","Fires - Wildfires",19.558024,227.30886,192.634643,13.813826
"907",24021,"Frederick","Fires - Wildfires",0.666257,3.704685,3.139565,0.319805
"908",24023,"Garrett","Fires - Wildfires",0.108184,0.629186,0.533201,0.05295
"909",24025,"Harford","Fires - Wildfires",0.092342,0.498974,0.422861,0.043773
"910",24027,"Howard","Fires - Wildfires",0.057338,0.319941,0.271137,0.027558
"911",24031,"Montgomery","Fires - Wildfires",0.120035,0.547169,0.463711,0.053148
"912",24033,"Prince Georges","Fires - Wildfires",1.827067,8.727543,7.396221,0.823587
"913",24035,"Queen Annes","Fires - Wildfires",0.252885,3.190707,2.703988,0.188001
"914",24037,"St. Marys","Fires - Wildfires",0.112426,0.487416,0.413063,0.048848
"915",24039,"Somerset","Fires - Wildfires",0.255667,3.184508,2.69874,0.188523
"916",24041,"Talbot","Fires - Wildfires",0.043493,0.185441,0.157174,0.018789
"917",24043,"Washington","Fires - Wildfires",1.531831,7.871924,6.671111,0.711217
"918",24045,"Wicomico","Fires - Wildfires",0.065123,0.307178,0.26032,0.029202
"919",24047,"Worcester","Fires - Wildfires",0.014456,0.077006,0.065261,0.006804
"920",25001,"Barnstable","Fires - Wildfires",3.872005,65.267257,55.311251,3.491295
"921",25003,"Berkshire","Fires - Wildfires",0.28323,1.964783,1.665101,0.150513
"922",25005,"Bristol","Fires - Wildfires",0.491378,2.670289,2.262949,0.233533
"923",25007,"Dukes","Fires - Wildfires",0.458672,2.559507,2.169068,0.220507
"924",25009,"Essex","Fires - Wildfires",1.898726,13.864127,11.749185,1.034842
"925",25011,"Franklin","Fires - Wildfires",0.358774,1.926483,1.632587,0.169663
"926",25013,"Hampden","Fires - Wildfires",0.527316,3.307147,2.802665,0.267125
"927",25015,"Hampshire","Fires - Wildfires",0.081871,0.597892,0.506704,0.044603
"928",25017,"Middlesex","Fires - Wildfires",5.541619,29.552757,25.044572,2.613028
"929",25021,"Norfolk","Fires - Wildfires",1.151186,8.082316,6.849418,0.615447
"930",25023,"Plymouth","Fires - Wildfires",1.020411,7.132894,6.044787,0.5442
"931",25025,"Suffolk","Fires - Wildfires",0.224979,1.799324,1.524841,0.128658
"932",25027,"Worcester","Fires - Wildfires",2.280132,12.445307,10.546766,1.08582
"933",26001,"Alcona","Fires - Wildfires",1.095708,12.354331,10.469809,0.759731
"934",26003,"Alger","Fires - Wildfires",0.196478,1.882662,1.595489,0.123822
"935",26005,"Allegan","Fires - Wildfires",5.022839,36.139056,30.626212,2.717637
"936",26007,"Alpena","Fires - Wildfires",1.013098,8.979087,7.609418,0.611251
"937",26009,"Antrim","Fires - Wildfires",0.549075,4.36901,3.70256,0.31269
"938",26011,"Arenac","Fires - Wildfires",0.775708,5.757054,4.878899,0.426266
"939",26013,"Baraga","Fires - Wildfires",0.194296,1.347836,1.142236,0.103244
"940",26015,"Barry","Fires - Wildfires",2.78301,18.691115,15.839788,1.456174
"941",26017,"Bay","Fires - Wildfires",3.122831,25.28581,21.428836,1.794927
"942",26019,"Benzie","Fires - Wildfires",3.751799,39.143593,33.172578,2.48336
"943",26021,"Berrien","Fires - Wildfires",6.4788,51.624035,43.749424,3.692736
"944",26023,"Branch","Fires - Wildfires",1.905642,15.064583,12.766671,1.081766
"945",26025,"Calhoun","Fires - Wildfires",4.85444,38.248177,32.413711,2.750881
"946",26027,"Cass","Fires - Wildfires",2.869318,22.524718,19.088864,1.622835
"947",26029,"Charlevoix","Fires - Wildfires",0.294622,2.355674,1.996356,0.168203
"948",26031,"Cheboygan","Fires - Wildfires",0.764311,5.886129,4.988227,0.427957
"949",26033,"Chippewa","Fires - Wildfires",0.558607,4.408733,3.73619,0.316778
"950",26035,"Clare","Fires - Wildfires",2.814146,22.024866,18.66519,1.588984
"951",26037,"Clinton","Fires - Wildfires",2.590944,20.971607,17.772727,1.489039
"952",26039,"Crawford","Fires - Wildfires",1.676864,11.584557,9.817627,0.88921
"953",26041,"Delta","Fires - Wildfires",0.737638,6.026947,5.107646,0.426019
"954",26043,"Dickinson","Fires - Wildfires",0.872972,6.477185,5.489158,0.479663
"955",26045,"Eaton","Fires - Wildfires",2.276735,17.969465,15.228437,1.291301
"956",26047,"Emmet","Fires - Wildfires",0.303495,2.538311,2.151118,0.177455
"957",26049,"Genesee","Fires - Wildfires",6.83869,54.473862,46.164607,3.897322
"958",26051,"Gladwin","Fires - Wildfires",2.089739,19.435659,16.470966,1.294857
"959",26053,"Gogebic","Fires - Wildfires",0.179187,1.317293,1.116361,0.097998
"960",26055,"Grand Traverse","Fires - Wildfires",2.697403,19.638847,16.643238,1.468092
"961",26057,"Gratiot","Fires - Wildfires",1.381535,11.344123,9.613741,0.800004
"962",26059,"Hillsdale","Fires - Wildfires",1.031622,7.618393,6.456224,0.565541
"963",26061,"Houghton","Fires - Wildfires",1.47906,12.14078,10.288861,0.856274
